iter	Logloss
0	0.6841079927
1	0.6756919342
2	0.6678126254
3	0.6605186415
4	0.6537356952
5	0.6471840869
6	0.6411438011
7	0.6353894113
8	0.6299826696
9	0.6248956557
10	0.6202670444
11	0.6159053833
12	0.6119507005
13	0.6079470863
14	0.6042950374
15	0.6008102242
16	0.5975599541
17	0.5944650965
18	0.5916877943
19	0.5889488111
20	0.5864692283
21	0.5841481919
22	0.581919071
23	0.5798761316
24	0.5778580496
25	0.575986655
26	0.5743006585
27	0.5726274111
28	0.5709899898
29	0.5694667417
30	0.5680931369
31	0.56672174
32	0.5654924009
33	0.5643452907
34	0.563221293
35	0.5621918817
36	0.5611613309
37	0.560186086
38	0.5593230202
39	0.5584931094
40	0.5576591389
41	0.5568681881
42	0.5561098938
43	0.5553586864
44	0.5547104344
45	0.5541153872
46	0.5535010382
47	0.5529131491
48	0.5523552101
49	0.5518009747
50	0.5512694956
51	0.5507599894
52	0.5503071425
53	0.5498731701
54	0.5494398031
55	0.549033644
56	0.5486544435
57	0.5482959337
58	0.5479704722
59	0.5476176248
60	0.547271615
61	0.5469149215
62	0.5466146023
63	0.5463138914
64	0.5460194127
65	0.5457366149
66	0.545478995
67	0.5452236899
68	0.5449757565
69	0.5447723743
70	0.5445205236
71	0.5442892212
72	0.5440881893
73	0.5438791447
74	0.5436566386
75	0.5434559985
76	0.5432378015
77	0.543063835
78	0.5428886934
79	0.5427084592
80	0.5425169002
81	0.5423361318
82	0.542184067
83	0.5420380562
84	0.5419139827
85	0.541771462
86	0.5416404441
87	0.541499241
88	0.5413589639
89	0.5412261654
90	0.5410966431
91	0.5409682249
92	0.5408207185
93	0.5407058686
94	0.5405772367
95	0.5404556917
96	0.540332366
97	0.5402218608
98	0.5401040551
99	0.5399898818
100	0.5399055873
101	0.53979583
102	0.5396993917
103	0.539605838
104	0.5395072629
105	0.5394181252
106	0.5393267794
107	0.5392383183
108	0.5391458686
109	0.5390410257
110	0.5389650289
111	0.5389002856
112	0.5388231492
113	0.5387438049
114	0.5386550588
115	0.5385882856
116	0.538483336
117	0.5384325171
118	0.5383719761
119	0.5382976174
120	0.5382121478
121	0.5381472264
122	0.5380850116
123	0.5380370061
124	0.537963146
125	0.5378932389
126	0.537819735
127	0.5377486883
128	0.5376823781
129	0.5376178841
130	0.5375662461
131	0.5375096225
132	0.5374611184
133	0.5374151784
134	0.5373395378
135	0.5372933485
136	0.5372386835
137	0.5371824516
138	0.5371287125
139	0.5370580932
140	0.5369808499
141	0.5369386849
142	0.5369098745
143	0.5368702023
144	0.5367971257
145	0.5367314921
146	0.5366551036
147	0.5365938503
148	0.5365468063
149	0.5364959519
150	0.5364667497
151	0.5364225548
152	0.5363858028
153	0.5363473414
154	0.536302363
155	0.5362592364
156	0.5362113734
157	0.5361650061
158	0.5361219151
159	0.5360750136
160	0.5360317446
161	0.5359718802
162	0.535930926
163	0.5358933549
164	0.5358433551
165	0.5357813896
166	0.5357271163
167	0.5356976649
168	0.5356491252
169	0.5356129787
170	0.5355665402
171	0.5355127299
172	0.5354775804
173	0.5354276163
174	0.5353742689
175	0.5353265128
176	0.5352827451
177	0.535248949
178	0.5351834222
179	0.5351447116
180	0.5350996619
181	0.535079719
182	0.5350433944
183	0.5349979174
184	0.5349736297
185	0.5349398692
186	0.5349143351
187	0.5348756601
188	0.5348352045
189	0.5348119852
190	0.5347920423
191	0.534732712
192	0.5347107036
193	0.5346736311
194	0.5346286883
195	0.5345954263
196	0.5345524422
197	0.5345114168
198	0.534467115
199	0.534439729
200	0.5343843162
201	0.5343566098
202	0.5342993451
203	0.5342728495
204	0.5342337471
205	0.5341982772
206	0.5341818955
207	0.5341582489
208	0.5341247732
209	0.534099987
210	0.5340663333
211	0.534042473
212	0.5340215686
213	0.5339726372
214	0.5339373453
215	0.5338902657
216	0.5338623813
217	0.5338215695
218	0.5337935425
219	0.533773101
220	0.5337365984
221	0.5337029447
222	0.5336639491
223	0.5336390917
224	0.5336005591
225	0.5335508798
226	0.5335135937
227	0.5334936864
228	0.5334459658
229	0.5334323975
230	0.5334101041
231	0.5333772695
232	0.5333481386
233	0.5333086088
234	0.5332733882
235	0.5332391647
236	0.5332100694
237	0.533185853
238	0.5331420142
239	0.5331102479
240	0.5330870999
241	0.5330677624
242	0.5330427981
243	0.5330147355
244	0.5329830049
245	0.5329567586
246	0.5329216448
247	0.5328889526
248	0.5328612106
249	0.5328158404
250	0.5327932978
251	0.5327665885
252	0.532743761
253	0.5327283052
254	0.5326875647
255	0.532649317
256	0.5326206846
257	0.5325965751
258	0.5325599299
259	0.5325328289
260	0.5325023447
261	0.5324796596
262	0.532426704
263	0.5324063338
264	0.5323682641
265	0.5323350022
266	0.5322989625
267	0.532274105
268	0.532247467
269	0.5322129942
270	0.5321913775
271	0.5321551597
272	0.5321299105
273	0.5320888138
274	0.5320763851
275	0.5320404166
276	0.5320035934
277	0.5319826177
278	0.5319404527
279	0.5319094343
280	0.5318865712
281	0.5318692992
282	0.5318377466
283	0.5318087581
284	0.5317867141
285	0.5317624977
286	0.5317477185
287	0.5317236802
288	0.5316992501
289	0.531672612
290	0.5316412019
291	0.5316154542
292	0.5316001409
293	0.5315579046
294	0.5315222922
295	0.5314962596
296	0.531480875
297	0.5314564449
298	0.5314340091
299	0.531394052
300	0.5313573001
301	0.5313226492
302	0.5313067661
303	0.531281695
304	0.5312434829
305	0.5312286682
306	0.531201674
307	0.5311813393
308	0.5311641742
309	0.5311293097
310	0.531114851
311	0.5310856489
312	0.5310595806
313	0.5310193743
314	0.5309978288
315	0.5309680925
316	0.5309488618
317	0.5309085842
318	0.5308805572
319	0.5308618607
320	0.5308389264
321	0.5308253581
322	0.5307877514
323	0.5307679509
324	0.5307561276
325	0.5307262488
326	0.5306795966
327	0.5306516409
328	0.5306423817
329	0.530613785
330	0.5305753592
331	0.5305563778
332	0.5305293124
333	0.5305042769
334	0.5304789209
335	0.5304512145
336	0.5304201605
337	0.5303985438
338	0.5303535653
339	0.5303409229
340	0.5303267136
341	0.5302959089
342	0.5302639646
343	0.5302262511
344	0.5301985803
345	0.5301836231
346	0.5301693425
347	0.5301341931
348	0.530094699
349	0.5300689869
350	0.5300263589
351	0.5300013234
352	0.5299693078
353	0.529953033
354	0.529935939
355	0.529911046
356	0.5298828766
357	0.5298582685
358	0.5298365093
359	0.5298019653
360	0.5297880409
361	0.5297576991
362	0.5297224785
363	0.5296929202
364	0.529665748
365	0.5296357623
366	0.5295858694
367	0.5295640746
368	0.5295403568
369	0.5295101219
370	0.5294789967
371	0.5294523586
372	0.529422836
373	0.5293953432
374	0.5293713405
375	0.5293479075
376	0.5293119034
377	0.5292856927
378	0.5292673523
379	0.5292366189
380	0.5292054224
381	0.5291828442
382	0.5291651092
383	0.5291364056
384	0.5291169257
385	0.5291032149
386	0.5290819543
387	0.5290494758
388	0.5290235856
389	0.5289965915
390	0.528968066
391	0.5289442769
392	0.5289205234
393	0.5288967344
394	0.5288513998
395	0.5288199185
396	0.5287934941
397	0.5287586296
398	0.5287277181
399	0.5286966997
400	0.5286577041
401	0.5286398267
402	0.5286113368
403	0.5285817073
404	0.5285620849
405	0.5285392218
406	0.5285122988
407	0.5284709528
408	0.5284488019
409	0.5284198491
410	0.5283828834
411	0.5283504406
412	0.5283261173
413	0.5282960961
414	0.5282796432
415	0.5282498712
416	0.5282260465
417	0.5282137603
418	0.5281799641
419	0.5281628702
420	0.5281415028
421	0.5281196012
422	0.5281038961
423	0.5280821726
424	0.5280600929
425	0.5280196372
426	0.5280048581
427	0.5279786474
428	0.5279636902
429	0.5279426077
430	0.5279124796
431	0.5278911478
432	0.5278659342
433	0.5278512975
434	0.5278288974
435	0.5277865542
436	0.527747167
437	0.5277146529
438	0.5276900091
439	0.527656854
440	0.5276329581
441	0.5276129439
442	0.5275929654
443	0.5275702091
444	0.5275540055
445	0.527530252
446	0.5275130156
447	0.5274871966
448	0.5274650457
449	0.5274315345
450	0.5274071756
451	0.5273621616
452	0.5273292202
453	0.527304149
454	0.5272805024
455	0.5272602034
456	0.5272420767
457	0.5272199258
458	0.5272032948
459	0.5271775114
460	0.5271541497
461	0.5271116998
462	0.5270843495
463	0.5270539009
464	0.5270245207
465	0.5270083171
466	0.5269853115
467	0.5269661876
468	0.5269352405
469	0.5269171494
470	0.5268939657
471	0.5268609887
472	0.5268363449
473	0.5268016585
474	0.5267778694
475	0.5267345291
476	0.5267008754
477	0.5266864168
478	0.5266665095
479	0.5266277988
480	0.5265935397
481	0.5265615242
482	0.5265305058
483	0.5264973507
484	0.5264735973
485	0.5264551144
486	0.5264346373
487	0.526421069
488	0.5264041888
489	0.5263762687
490	0.5263459625
491	0.5263281207
492	0.5263026579
493	0.5262778717
494	0.5262494174
495	0.5262273021
496	0.5262108848
497	0.5261907638
498	0.5261561486
499	0.5261241687
500	0.526106042
501	0.5260822885
502	0.5260537986
503	0.5260230651
504	0.5260094256
505	0.5259730298
506	0.5259622036
507	0.5259325385
508	0.5259021255
509	0.5258780872
510	0.5258573252
511	0.5258308295
